election_date,anc,name
1984-11-06,2A02,"Louis T. Rigdon, II"
1984-11-06,2A03,Maria Tyler
1986-11-04,2A01,Ralph A. Rosenbaum
1986-11-04,2A02,Charles L. Clapp
1986-11-04,2A03,Maria Tyler
1988-11-08,2A01,Ralph A. Rosenbaum
1988-11-08,2A02,Charles L. Clapp
1988-11-08,2A03,Maria Tyler
1990-11-06,2A01,Jean E. Swift
1990-11-06,2A02,Charles L. Clapp
1990-11-06,2A03,Maria Tyler
1992-11-03,2A01,Jean E. Swift
1992-11-03,2A02,Christopher C. Lamb
1992-11-03,2A03,Maria Tyler
1994-11-08,2A01,Jean E. Swift
1994-11-08,2A02,Michael R. Geroe
1994-11-08,2A03,Maria Tyler
1996-11-05,2A01,Jean E. Swift
1996-11-05,2A02,Michael R. Geroe
1996-11-05,2A03,Maria Tyler
1998-11-03,2A01,Richard Sheehey
1998-11-03,2A02,Richard J. Price
1998-11-03,2A03,Maria Tyler
2000-11-07,2A01,Elizabeth B. Elliott
2000-11-07,2A02,Richard J. Price
2000-11-07,2A03,Maria Tyler
2002-11-05,2A01,David Lehrman
2002-11-05,2A02,Richard J. Price
2002-11-05,2A03,Maria Tyler
2004-11-02,2A01,David Lehrman
2004-11-02,2A02,Richard J. Price
2004-11-02,2A03,Anne Savage
2006-11-07,2A01,David Lehrman
2006-11-07,2A02,Michael Thomas
2006-11-07,2A03,Asher Corson
2008-11-04,2A01,David M. Lehrman
2008-11-04,2A02,Rebecca K. Coder
2008-11-04,2A03,Asher Corson
2010-11-02,2A01,David M. Lehrman
2010-11-02,2A02,Rebecca K. Coder
2010-11-02,2A03,Asher Corson
2012-11-06,2A01,Patrick Kennedy
2012-11-06,2A02,Rebecca Coder
2012-11-06,2A03,Asher Corson
1979-11-06,2A04,Howard Feldman
1979-11-06,2A05,Steve Levy
1979-11-06,2A06,James J. Molinelli
1981-11-03,2A04,Geoffrey F. Starr
1981-11-03,2A05,Steve Levy
1981-11-03,2A06,James J. Molinelli
1984-11-06,2A04,Geoffrey F. Starr
1984-11-06,2A05,Steve Levy
1984-11-06,2A06,Sue B. Schumacher
1986-11-04,2A04,No candidate
1986-11-04,2A05,Richard Striner
1986-11-04,2A06,Sue B. Schumacher
1988-11-08,2A04,Richard J. Palco
1988-11-08,2A05,Beverly Sklover
1988-11-08,2A06,Sue B. Schumacher
1990-11-06,2A04,Robb Austin
1990-11-06,2A05,Edward Kelly
1990-11-06,2A06,Sara Maddux
1992-11-03,2A04,Ramona Maria Lauda
1992-11-03,2A05,Edward T. Kelly
1992-11-03,2A06,Sara Maddux
1994-11-08,2A04,Dale W. Barnhard
1994-11-08,2A05,Dorothy Miller
1994-11-08,2A06,Sara Maddux
1996-11-05,2A04,Bernard Mozer
1996-11-05,2A05,Dorothy Miller
1996-11-05,2A06,Sara Maddux
1998-11-03,2A04,Barbara Spillinger
1998-11-03,2A05,Dorothy Miller
1998-11-03,2A06,Steven J. Mandelbaum
2000-11-07,2A04,James E. Patterson
2000-11-07,2A05,Dorothy Miller
2000-11-07,2A06,Jeff Marootian
2002-11-05,2A04,James W. Lewis
2002-11-05,2A05,Dorothy Miller
2002-11-05,2A06,Joshua Singer
2004-11-02,2A04,James M. Morris
2004-11-02,2A05,Dorothy Miller
2004-11-02,2A06,Vince Micone
2006-11-07,2A04,Jeff Binder
2006-11-07,2A05,Dorothy Miller
2006-11-07,2A06,Vince Micone
2008-11-04,2A04,Armando Irizarry
2008-11-04,2A05,Eric Malinen
2008-11-04,2A06,Florence E. Harmon
2010-11-02,2A04,Armando Irizarry
2010-11-02,2A05,Eric Malinen
2010-11-02,2A06,Florence E. Harmon
2012-11-06,2A04,Armando Irizarry
2012-11-06,2A05,Graham Michael Galka
2012-11-06,2A06,Florence Harmon
2012-11-06,2A07,Jackson Carnes
2012-11-06,2A08,Peter E. Sacco
1979-11-06,2B01,No candidate
1979-11-06,2B02,"William Middleton, Jr."
1979-11-06,2B03,James H. Oliver
1981-11-03,2B01,No candidate
1981-11-03,2B02,No candidate
1981-11-03,2B03,George Nelson
1984-11-06,2B01,William G. Middleton
1984-11-06,2B02,Kathryn C. Ray
1984-11-06,2B03,Susan W. B. Meehan
1986-11-04,2B01,Ed Grandis
1986-11-04,2B02,Bella Schwartz
1986-11-04,2B03,Alexis Rieffel
1988-11-08,2B01,Ed Grandis
1988-11-08,2B02,Kyle Pitsor
1988-11-08,2B03,Alexis Rieffel
1990-11-06,2B01,Ed Grandis
1990-11-06,2B02,Doreen Moses
1990-11-06,2B03,Alexis Rieffel
1992-11-03,2B01,Larry Ray
1992-11-03,2B02,John Pagano
1992-11-03,2B03,Martha T. Shannon
1994-11-08,2B01,Brad Haransky
1994-11-08,2B02,Stephen J. Smith
1994-11-08,2B03,Jonathan Heller
1996-11-05,2B01,Laine McRaney
1996-11-05,2B02,Stephan Angle
1996-11-05,2B03,Fran Cary
1998-11-03,2B01,David R. King
1998-11-03,2B02,Karen D. Rosenthal
1998-11-03,2B03,Fran Cary
2000-11-07,2B01,Norma Zane Chaplain
2000-11-07,2B02,Vince Micone
2000-11-07,2B03,David R. Jolliffe
2002-11-05,2B01,Rob Halligan
2002-11-05,2B02,Vince Micone
2002-11-05,2B03,Bob Meehan
2004-11-02,2B01,Rob Halligan
2004-11-02,2B02,Karyn-Siobhan Robinson
2004-11-02,2B03,Bob Meehan
2006-11-07,2B01,Curtis Farrar
2006-11-07,2B02,Brian Branton
2006-11-07,2B03,Bob Meehan
2008-11-04,2B01,Michael Feldstein
2008-11-04,2B02,William E. M. Hewitt
2008-11-04,2B03,Bob Meehan
2010-11-02,2B01,Michael Feldstein
2010-11-02,2B02,Kevin O'Connor
2010-11-02,2B03,Bob Meehan
2012-11-06,2B01,Mike Feldstein
2012-11-06,2B02,Kevin O'Connor
2012-11-06,2B03,Stephanie Maltz
1979-11-06,2B04,No candidate
1979-11-06,2B05,Susan W. B. Meehan
1979-11-06,2B06,Ralph Bristol
1981-11-03,2B04,No candidate
1981-11-03,2B05,Susan W. B. Meehan
1981-11-03,2B06,Ralph Bristol
1984-11-06,2B04,David A. Maxwell
1984-11-06,2B05,Ralph Bristol
1984-11-06,2B06,John F. Hackett
1986-11-04,2B04,David A. Maxwell
1986-11-04,2B05,Dennis Bass
1986-11-04,2B06,Marilyn T. Welles
1988-11-08,2B04,Dennis E. Gaulger
1988-11-08,2B05,Dennis Bass
1988-11-08,2B06,David Maggi
1990-11-06,2B04,Dennis E. Gaulger
1990-11-06,2B05,Dennis Bass
1990-11-06,2B06,Pamela Taylor
1992-11-03,2B04,Dennis Bass
1992-11-03,2B05,Russell Gamble
1992-11-03,2B06,Pamela Taylor
1994-11-08,2B04,Dennis Bass
1994-11-08,2B05,Erik Wemple
1994-11-08,2B06,Henry L. Fernandez
1996-11-05,2B04,Donald J. Jackson
1996-11-05,2B05,Meredith DeHart
1996-11-05,2B06,Henry L. Fernandez
1998-11-03,2B04,Donald J. Jackson
1998-11-03,2B05,Meredith DeHart
1998-11-03,2B06,Marilyn S. Newton
2000-11-07,2B04,Jeff Hopp
2000-11-07,2B05,Doug Damron
2000-11-07,2B06,Marilyn S. Newton
2002-11-05,2B04,Darren A. Bowie
2002-11-05,2B05,Carol Mitten
2002-11-05,2B06,Stuart A. Dwyer
2004-11-02,2B04,Darren A. Bowie
2004-11-02,2B05,Mark Bjorge
2004-11-02,2B06,Myron Silverstein
2006-11-07,2B04,Ryan Butler
2006-11-07,2B05,Mark Bjorge
2006-11-07,2B06,Mike Silverstein
2008-11-04,2B04,Jack Jacobson
2008-11-04,2B05,Victor Wexler
2008-11-04,2B06,Mike Silverstein
2010-11-02,2B04,Jack Jocobson
2010-11-02,2B05,Victor Wexler
2010-11-02,2B06,Mike Silverstein
2012-11-06,2B04,Kishan Putta
2012-11-06,2B05,No candidate
2012-11-06,2B06,Mike Silverstein
1979-11-06,2B07,Ken Rothschild
1981-11-03,2B07,Ken Rothschild
1984-11-06,2B07,Renee Schnager
1986-11-04,2B07,Renee Schnager
1988-11-08,2B07,Jack Evans
1990-11-06,2B07,Jack Evans
1992-11-03,2B07,Dennis Holmes
1994-11-08,2B07,Kyle Pitsor
1996-11-05,2B07,Kyle Pitsor
1998-11-03,2B07,Kyle Pitsor
2000-11-07,2B07,Irv Morgan
2002-11-05,2B07,Irv Morgan
2002-11-05,2B08,Scott Major Giese
2002-11-05,2B09,Ramon Estrada
2004-11-02,2B07,Babak Movahedi
2004-11-02,2B08,Peter Klempay
2004-11-02,2B09,Ramon Estrada
2006-11-07,2B07,Phil Carney
2006-11-07,2B08,Douglas F. Johnson
2006-11-07,2B09,Ramon Estrada
2008-11-04,2B07,Phil Carney
2008-11-04,2B08,Will Stephens
2008-11-04,2B09,Ramon Estrada
2010-11-02,2B07,Phil Carney
2010-11-02,2B08,Will Stephens
2010-11-02,2B09,Ramon Estrada
2012-11-06,2B07,Leo Dwyer
2012-11-06,2B08,Will Stephens
2012-11-06,2B09,Noah Smith
1979-11-06,2C01,Charles F. Mason
1979-11-06,2C02,No candidate
1979-11-06,2C03,No candidate
1981-11-03,2C01,No candidate
1981-11-03,2C02,Elmer J. Brooks
1981-11-03,2C03,James F. Orr
1984-11-06,2C01,Richard W. Glover
1984-11-06,2C02,Louis Raymond Perkins
1984-11-06,2C03,Marvin F. Moss
1986-11-04,2C01,Felix Grissom
1986-11-04,2C02,Ruth Lauder
1986-11-04,2C03,Arlethia B. Jones
1988-11-08,2C01,Susan Fleck
1988-11-08,2C02,Robert Ebel
1988-11-08,2C03,Jim Brandon
1990-11-06,2C01,Joe Sternlier
1990-11-06,2C02,Robert Ebel
1990-11-06,2C03,Jim Brandon
1992-11-03,2C01,Norma E. Davis
1992-11-03,2C02,"Leroy J. Thorpe, Jr."
1992-11-03,2C03,Doris L. Brooks
1994-11-08,2C01,Norma E. Davis
1994-11-08,2C02,"Leroy J. Thorpe, Jr."
1994-11-08,2C03,Doris L. Brooks
1996-11-05,2C01,Norma E. Davis
1996-11-05,2C02,"Leroy J. Thorpe, Jr."
1996-11-05,2C03,Doris L. Brooks
1998-11-03,2C01,Norma E. Davis
1998-11-03,2C02,"Leroy J. Thorpe, Jr."
1998-11-03,2C03,Doris L. Brooks
2000-11-07,2C01,Alexander M. Padro
2000-11-07,2C02,"Leroy J. Thorpe, Jr."
2000-11-07,2C03,Doris L. Brooks
2002-11-05,2C01,Alexander M. Padro
2002-11-05,2C02,"Leroy J. Thorpe, Jr."
2002-11-05,2C03,Doris L. Brooks
2004-11-02,2C01,Alexander M. Padro
2004-11-02,2C02,"Leroy J. Thorpe, Jr."
2004-11-02,2C03,Doris L. Brooks
2006-11-07,2C01,Alexander M. Padro
2006-11-07,2C02,Kevin Chapple
2006-11-07,2C03,Doris L. Brooks
2008-11-04,2C01,Alexander M. Padro
2008-11-04,2C02,Kevin Chapple
2008-11-04,2C03,Doris L. Brooks
2010-11-02,2C01,Alexander M. Padro
2010-11-02,2C02,Kevin Chapple
2010-11-02,2C03,Doris L. Brooks
2012-11-06,2C01,John Tinpe
2012-11-06,2C02,Harold A. Closter
2012-11-06,2C03,Kevin Wilsey
1979-11-06,2C04,No candidate
1979-11-06,2C05,Millie L. Edwards
1979-11-06,2C06,No candidate
1981-11-03,2C04,Louis Raymond Perkins
1981-11-03,2C05,Millie L. Edwards
1981-11-03,2C06,Lorraine J. Johnson
1984-11-06,2C04,Millie L. Edwards
1984-11-06,2C05,No candidate
1984-11-06,2C06,No candidate
1986-11-04,2C04,Millie L. Edwards
1986-11-04,2C05,Bob Carter
1986-11-04,2C06,"Jack E. Evans, Jr."
1988-11-08,2C04,Steve Ludlum
1988-11-08,2C05,Charles Richardson
1988-11-08,2C06,Michael Carr
1990-11-06,2C04,"John J. Fanning, Jr."
1990-11-06,2C05,Daniel McDowney
1990-11-06,2C06,Meryl L. Sykes
1992-11-03,2C04,Earnest C. Williams
1992-11-03,2C05,Lawrence L. Thomas
1992-11-03,2C06,Alverta H. Munlyn
1994-11-08,2C04,Torrence S. Henighan
1994-11-08,2C05,Lawrence L. Thomas
1994-11-08,2C06,Sallie K. Wilson
1996-11-05,2C04,Brenda D. Colbert
1996-11-05,2C05,Lawrence L. Thomas
1996-11-05,2C06,Muhammad A. Rahman
1998-11-03,2C04,Lydia Goring
1998-11-03,2C05,Lawrence L. Thomas
1998-11-03,2C06,Beverly Estes
2000-11-07,2C04,Lydia Goring
2000-11-07,2C05,Lawrence L. Thomas
2000-11-07,2C06,Darlene Holbrook-Jones
2002-11-05,2C04,Lydia Goring
2004-11-02,2C04,Barbara A. Curtis
2006-11-07,2C04,Barbara A. Curtis
2008-11-04,2C04,Theresa Sule
2010-11-02,2C04,Rachelle P. Nigro
1979-11-06,2C07,Bob Carter
1979-11-06,2C08,No candidate
1979-11-06,2C09,Naomi B. Carter
1981-11-03,2C07,Mary L. Raycrow
1981-11-03,2C08,No candidate
1981-11-03,2C09,Margaret B. Cooper
1984-11-06,2C07,Margaret B. Cooper
1984-11-06,2C08,Jeffrey B. Henderson
1984-11-06,2C09,Sterling Green
1986-11-04,2C07,No candidate
1986-11-04,2C08,Elizabeth Blakeslee
1986-11-04,2C09,No candidate
1988-11-08,2C07,"Leroy J. Thorpe, Jr."
1988-11-08,2C08,Elizabeth Blakeslee
1988-11-08,2C09,Harold L. Whitten
1990-11-06,2C07,"Leroy J. Thorpe, Jr."
1990-11-06,2C08,Elizabeth Blakeslee
1990-11-06,2C09,Doris L. Brooks
1979-11-06,2C10,No candidate
1979-11-06,2C11,No candidate
1979-11-06,2C12,No candidate
1981-11-03,2C10,Al Bartlett
1981-11-03,2C11,Sterling Green
1981-11-03,2C12,Daniel E. Zimmerman
1984-11-06,2C10,Debbie Washington
1984-11-06,2C11,Earnest C. Williams
1984-11-06,2C12,Elaine G. Jones
1986-11-04,2C10,Clarene Martin
1986-11-04,2C11,Earnest C. Williams
1986-11-04,2C12,Lawrence L. Thomas
1988-11-08,2C10,Clarene Martin
1988-11-08,2C11,Earnest C. Williams
1988-11-08,2C12,Lawrence L. Thomas
1990-11-06,2C10,William R. Speaks
1990-11-06,2C11,Earnest C. Williams
1990-11-06,2C12,Lawrence L. Thomas
1979-11-06,2C13,No candidate
1979-11-06,2C14,No candidate
1979-11-06,2C15,Audrey C. Thomas
1981-11-03,2C13,Sam Fields
1981-11-03,2C14,No candidate
1981-11-03,2C15,Audrey C. Thomas
1984-11-06,2C13,No candidate
1984-11-06,2C14,David C. Murray
1984-11-06,2C15,No candidate
1986-11-04,2C13,No candidate
1986-11-04,2C14,William B. Bynum
1986-11-04,2C15,Linda E. Bass
1988-11-08,2C13,Alverta Munlyn
1988-11-08,2C14,William B. Bynum
1988-11-08,2C15,Mozelle Boyd-White
1990-11-06,2C13,Alverta Munlyn
1990-11-06,2C14,Tyrone Tate
1990-11-06,2C15,Mozelle Boyd-White
1979-11-06,2C16,Helena Henderson
1979-11-06,2C17,Linda E. Wills
1979-11-06,2C18,No candidate
1981-11-03,2C16,No candidate
1981-11-03,2C17,David Murray
1981-11-03,2C18,Don Nunley
1984-11-06,2C16,Clifford W. Waddy
1986-11-04,2C16,Clifford W. Waddy
1988-11-08,2C16,Clifford W. Waddy
1990-11-06,2C16,Clifford W. Waddy
1979-11-06,2C19,Charles Richardson
1979-11-06,2D01,"Willie L. Reeves, Jr."
1979-11-06,2D02,Charles W. Hargrave
1981-11-03,2C19,Charles Richardson
1981-11-03,2D01,No candidate
1981-11-03,2D02,Charles W. Hargrave
1984-11-06,2D01,"Willie L. Reeves, Jr."
1984-11-06,2D02,Aquanetta Anderson
1986-11-04,2D01,"Willie L. Reeves, Jr."
1986-11-04,2D02,Mark C. Alexander
1988-11-08,2D01,"Willie L. Reeves, Jr."
1988-11-08,2D02,Carolyn A. Fleming
1990-11-06,2D01,"Willie L. Reeves, Jr."
1990-11-06,2D02,Charles W. Hargrave
1992-11-03,2D01,Richard S. Westbrook
1992-11-03,2D02,Charles W. Hargrave
1994-11-08,2D01,Richard S. Westbrook
1994-11-08,2D02,Charles W. Hargrave
1996-11-05,2D01,Richard S. Westbrook
1996-11-05,2D02,George E. Holmes
1998-11-03,2D01,Richard S. Westbrook
1998-11-03,2D02,Roxana E. Folescu
2000-11-07,2D01,Richard S. Westbrook
2000-11-07,2D02,Trevor J. Saccente
2002-11-05,2D01,Sandra Perlmutter
2002-11-05,2D02,MaryEva Candon
2004-11-02,2D01,Sandra Perlmutter
2004-11-02,2D02,MaryEva Candon
2006-11-07,2D01,Sandra Perlmutter
2006-11-07,2D02,MaryEva Candon
2008-11-04,2D01,Dana S. Greenwald
2008-11-04,2D02,MaryEva Candon
2010-11-02,2D01,David R. Bender
2010-11-02,2D02,Eric Lamar
2012-11-06,2D01,David R. Bender
2012-11-06,2D02,Eric Lamar
1979-11-06,2D03,No candidate
1979-11-06,2D04,No candidate
1979-11-06,2D05,Ethel James Williams
1981-11-03,2D03,No candidate
1981-11-03,2D04,Brian P. Moore
1981-11-03,2D05,Ethel James Williams
1984-11-06,2D03,Shirley Y. Dean
1984-11-06,2D04,No candidate
1984-11-06,2D05,Ron Britt
1986-11-04,2D03,Rita Spivey
1986-11-04,2D04,Evelyn Key
1986-11-04,2D05,Marion H. Harris
1988-11-08,2D03,Constance Smallwood
1988-11-08,2D04,Clarence Green
1988-11-08,2D05,Linda S. Eckles
1990-11-06,2D03,Reva M. Brown
1990-11-06,2D04,Mary E. Peaks
1990-11-06,2D05,Linda S. Eckles
1992-11-03,2D03,Alphonso C. Coles
1992-11-03,2D04,Le S. Eckles
1992-11-03,2D05,Loretta L. Reeves
1994-11-08,2D03,Toni Cassidy
1994-11-08,2D04,Le S. Eckles
1994-11-08,2D05,Loretta L. Reeves
1996-11-05,2D03,Toni Cassidy
1996-11-05,2D04,Linda S. Eckles
1996-11-05,2D05,Roger Moffatt
1998-11-03,2D03,Toni Cassidy
1998-11-03,2D04,Andy Litsky
1998-11-03,2D05,Roger Moffatt
2000-11-07,2D03,H. Anthony Mapp
2000-11-07,2D04,Andy Litsky
2000-11-07,2D05,Roger Moffatt
1979-11-06,2D06,No candidate
1979-11-06,2D07,Clarence Green
1979-11-06,2D08,Wilbert W. Brim
1981-11-03,2D06,Clarence Green
1981-11-03,2D07,No candidate
1981-11-03,2D08,Constance J. Smallwood
1984-11-06,2D06,Michael D. Foley
1984-11-06,2D07,Lavonnia D. Johnson
1984-11-06,2D08,No candidate
1986-11-04,2D06,L. La-Verne Reeves
1986-11-04,2D07,Lavonnia D. Johnson
1986-11-04,2D08,Marti J. Springfield
1988-11-08,2D06,L. La-Verne Reeves
1988-11-08,2D07,L. Bonnie Johnson
1988-11-08,2D08,Bernadette Mathews
1990-11-06,2D06,L. La-Verne Reeves
1990-11-06,2D07,No candidate
1990-11-06,2D08,Robert L. Dunbar
1992-11-03,2D06,Robert L. Dunbar
1994-11-08,2D06,Judith A. Jones
1996-11-05,2D06,Gloria J. Hamilton
1998-11-03,2D06,Gloria J. Hamilton
2000-11-07,2D06,Ahmed Assalaam
1984-11-06,2E01,Donald E. Polk
1984-11-06,2E02,Charles F. Meng
1984-11-06,2E03,Roger A. Pauley
1986-11-04,2E01,Rory F. Quirk
1986-11-04,2E02,Jeffrey J. Kilpatrick
1986-11-04,2E03,Roger A. Pauley
1988-11-08,2E01,Rory F. Quirk
1988-11-08,2E02,Grace Bateman
1988-11-08,2E03,Kara Kent
1990-11-06,2E01,West McDermid
1990-11-06,2E02,Grace Bateman
1990-11-06,2E03,Kara Kent
1992-11-03,2E01,Dianne Sawaya
1992-11-03,2E02,Oscar Turner
1992-11-03,2E03,Theodore J. Jacobs
1994-11-08,2E01,Judith A. Dollenmayer
1994-11-08,2E02,Brian P. Harrington
1994-11-08,2E03,Theodore J. Jacobs
1996-11-05,2E01,Judith A. Dollenmayer
1996-11-05,2E02,Fran Goldstein
1996-11-05,2E03,Rebecca Sinderbrand
1998-11-03,2E01,H. Scott Polk
1998-11-03,2E02,Fran Goldstein
1998-11-03,2E03,Peter Pulsifer
2000-11-07,2E01,H. Scott Polk
2000-11-07,2E02,Len Levine
2000-11-07,2E03,Peter Pulsifer
2002-11-05,2E01,Len Levine
2002-11-05,2E02,Jason Hurdle
2002-11-05,2E03,William Skelsey
2004-11-02,2E01,Ed Solomon
2004-11-02,2E02,John Lever
2004-11-02,2E03,William Skelsey
2006-11-07,2E01,Ed Solomon
2006-11-07,2E02,Ron Lewis
2006-11-07,2E03,William Skelsey
2008-11-04,2E01,Ed Solomon
2008-11-04,2E02,Ron Lewis
2008-11-04,2E03,Bill Skelsey
2010-11-02,2E01,Ed Solomon
2010-11-02,2E02,Ron Lewis
2010-11-02,2E03,Jeffrey Jones
2012-11-06,2E01,Ed Solomon
2012-11-06,2E02,Ron Lewis
2012-11-06,2E03,Jeffrey Jones
1984-11-06,2E04,Isabel N. Shannon
1984-11-06,2E05,William A. Cochran
1984-11-06,2E06,John R. Wagley
1986-11-04,2E04,Isabel N. Shannon
1986-11-04,2E05,John H. Schafer
1986-11-04,2E06,John R. Wagley
1988-11-08,2E04,Jim McCarthy
1988-11-08,2E05,Ray Browne
1988-11-08,2E06,John R. Wagley
1990-11-06,2E04,Jill L. Goodrich-Mahoney
1990-11-06,2E05,William McGreevey
1990-11-06,2E06,Myrna Firestone
1992-11-03,2E04,Westy McDermid
1992-11-03,2E05,Cara A. Hesse
1992-11-03,2E06,Edward B. Schwartz
1994-11-08,2E04,Westy McDermid
1994-11-08,2E05,Beverly Jost
1994-11-08,2E06,Jonda R. McFarlane
1996-11-05,2E04,Westy Byrd
1996-11-05,2E05,James L. Fogarty
1996-11-05,2E06,Jonda R. McFarlane
1998-11-03,2E04,Barbara Zartman
1998-11-03,2E05,Matt Payne
1998-11-03,2E06,Jonda R. McFarlane
2000-11-07,2E04,Justin Kopa
2000-11-07,2E05,Justin R. Wagner
2000-11-07,2E06,Bill Starrels
2002-11-05,2E04,Micharl Glick
2002-11-05,2E05,Bill Starrels
2002-11-05,2E06,Tom Birch
2004-11-02,2E04,Brett F. Clements
2004-11-02,2E05,Bill Starrels
2004-11-02,2E06,Pam Moore
2006-11-07,2E04,Jenna Lowenstein
2006-11-07,2E05,Bill Starrels
2006-11-07,2E06,Tom Birch
2008-11-04,2E04,Aaron L. Golds
2008-11-04,2E05,Bill Starrels
2008-11-04,2E06,Tom Birch
2010-11-02,2E04,Jake Gregory Sticka
2010-11-02,2E05,Bill Starrels
2010-11-02,2E06,Tom Birch
2012-11-06,2E04,Craig Cassey Jr.
2012-11-06,2E05,Bill Starrels
2012-11-06,2E06,Tom Birch
1992-11-03,2E07,Myrna Firestone
1992-11-03,2E08,Barbara Beatty
1992-11-03,2F01,John Fanning
1994-11-08,2E07,Rod Johnston
1994-11-08,2E08,Craig Davitan
1994-11-08,2F01,Christine L. Young
1996-11-05,2E07,Cynthia M. Anthony
1996-11-05,2E08,Craig Davitan
1996-11-05,2F01,Chris Young
1998-11-03,2E07,Art Schultz
1998-11-03,2E08,Mark P. Ryan
1998-11-03,2F01,David H. Stephens
2000-11-07,2E07,Tom Birch
2000-11-07,2E08,Mark P. Ryan
2000-11-07,2F01,David H. Stephens
2002-11-05,2E07,Mark P. Ryan
2002-11-05,2F01,Cary Silverman
2004-11-02,2E07,"Charles F. Eason, Jr."
2004-11-02,2F01,Charles Reed
2006-11-07,2E07,"Charles F. Eason, Jr."
2006-11-07,2F01,Charles Reed
2008-11-04,2E07,"Charles F. Eason, Jr."
2008-11-04,2F01,Charles Reed
2010-11-02,2E07,"Charles F. Eason, Jr."
2010-11-02,2F01,Charles Reed
2012-11-06,2E07,"Charles F. Eason, Jr."
2012-11-06,2E08,Peter Prindiville
2012-11-06,2F01,Peter Lallas
1992-11-03,2F02,Jim Brandon
1992-11-03,2F03,Bob Ebel
1992-11-03,2F04,Laura A. Shell
1994-11-08,2F02,Jim Brandon
1994-11-08,2F03,Bob Ebel
1994-11-08,2F04,David Morris
1996-11-05,2F02,Jim Brandon
1996-11-05,2F03,Jeffrey Travers
1996-11-05,2F04,Helen M. Kramer
1998-11-03,2F02,Jim Brandon
1998-11-03,2F03,Stephen H. Snell
1998-11-03,2F04,Helen M. Kramer
2000-11-07,2F02,Jim Brandon
2000-11-07,2F03,Barbara Asare-Bediako
2000-11-07,2F04,Helen M. Kramer
2002-11-05,2F02,Jim Brandon
2002-11-05,2F03,Miriam K. Trimble
2002-11-05,2F04,Helen M. Kramer
2004-11-02,2F02,Jim Brandon
2004-11-02,2F03,Christopher Dyer
2004-11-02,2F04,Matt Raymond
2006-11-07,2F02,Jim Richardson
2006-11-07,2F03,Christopher Dyer
2006-11-07,2F04,Jennifer Trock
2008-11-04,2F02,Monica Schneider
2008-11-04,2F03,Brian Vargas
2008-11-04,2F04,Matt Raymond
2010-11-02,2F02,Emily Barton
2010-11-02,2F03,Samuel Goekjian
2010-11-02,2F04,No candidate
2012-11-06,2F02,Walt Cain
2012-11-06,2F03,Chris Linn
2012-11-06,2F04,John Fanning
1992-11-03,2F05,Elizabeth Blakeslee
1992-11-03,2F06,Merle L. Sykes
1994-11-08,2F05,Robert Ryan Riddle
1994-11-08,2F06,Beth Solomon
1996-11-05,2F05,Leslie Miles
1996-11-05,2F06,Rodney D. Foxworth
1998-11-03,2F05,Leslie Miles
1998-11-03,2F06,Rodney D. Foxworth
2000-11-07,2F05,Leslie Miles
2000-11-07,2F06,Bob Hinterlong
2002-11-05,2F05,No candidate
2002-11-05,2F06,Bob Hinterlong
2004-11-02,2F05,Sandra Biasillo
2004-11-02,2F06,Michael G. Nelson
2006-11-07,2F05,Sandra Biasillo
2006-11-07,2F06,Michael B. Benardo
2008-11-04,2F05,Dustin Cole
2008-11-04,2F06,Michael B. Benardo
2010-11-02,2F05,No candidate
2010-11-02,2F06,Michael Benardo
2012-11-06,2F05,Jim Lamare
2012-11-06,2F06,Greg Melcher
2012-11-06,2F07,Matt Raymond
1979-11-06,3A01,No candidate
1981-11-03,3A01,No candidate
2012-11-06,2F08,Matthew Connolly
1979-11-06,3A02,Harry A. Sellery
1979-11-06,3A03,No candidate
1979-11-06,3A04,Judith Bonderman
1981-11-03,3A02,Harry A. Sellery
1981-11-03,3A03,William Sanjour
1981-11-03,3A04,Pamela Dee Hinds
1979-11-06,3A05,No candidate
1979-11-06,3A06,No candidate
1979-11-06,3B01,No candidate
1981-11-03,3A05,Timothy L. Robinson
1981-11-03,3A06,Raymond J. Kukulski
1981-11-03,3B01,George A. Gavalla
1984-11-06,3B01,Ausha Ronde
1986-11-04,3B01,Ausha Ronde
1988-11-08,3B01,Barbara A. Hamer
1990-11-06,3B01,Barbara A. Hamer
1992-11-03,3B01,Barbara A. Hamer
1994-11-08,3B01,Sprague Simonds
1996-11-05,3B01,Sprague Simonds
1998-11-03,3B01,Richard Mario Procida
2000-11-07,3B01,No candidate
2002-11-05,3B01,Toni A. Ritzenberg
2004-11-02,3B01,Tamela Gordon
2006-11-07,3B01,Kathleen W. Fiorillo
2008-11-04,3B01,Cathy Fiorillo
2010-11-02,3B01,Ben Thielen
2012-11-06,3B01,Joe Fiorillo
1979-11-06,3B02,Michael S. Marcus
1979-11-06,3B03,Mark W. Looney
1979-11-06,3B04,No candidate
1981-11-03,3B02,Phyllis Myers
1981-11-03,3B03,Mark W. Looney
1981-11-03,3B04,Mark L. Plotkin
1984-11-06,3B02,Jane Huntington
1984-11-06,3B03,Mark L. Plotkin
1984-11-06,3B04,Francis D Threadgill
1986-11-04,3B02,Jack Everett
1986-11-04,3B03,David Click
1986-11-04,3B04,Francis D. Threadgill
1988-11-08,3B02,Phyllis M. White
1988-11-08,3B03,Sandy Panchak
1988-11-08,3B04,Catherine M. Perrin
1990-11-06,3B02,Ron Fried
